entry_id,msn_headword,ehn_spoken_form,part_of_speech,gloss_en,gloss_es,authoring_domain,use_status,source_confidence,review_note
kw::tlaxcaloa::1,tlaxkaloa,tlaxcaloa,verb,to make tortillas,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tzompilihui::2,tsompiliwi,tzompilihui,verb,to have a cold.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::huetzi::2,wetsi,huetzi,verb,to fall.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::huica::3,wika,huica,verb,to sing.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::xolotl::4,xolotl,xolotl,verb,to be afraid.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yahua::1,yawa,yahua,verb,to go.,,actions,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::atli::2,atli,atli,verb,to drink water.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::chilcaxitl::1,chilkaxitl,chilcaxitl,noun,"Molcajete, a traditional Mexican stone tool, equivalent in function to a mortar and pestle, used for grinding food.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::elotl::4,elotl,elotl,noun,A fresh ear of corn.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::escuela::1,eskuela,escuela,noun,school,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::etamalli::3,etamalli,etamalli,noun,bean tamale.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::etzontli::1,etsontli,etzontli,noun,a bean bush.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::exinachtli::1,exinachtli,exinachtli,noun,bean seed.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::eyoli::1,eyoli,eyoli,noun,bean seed.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::familia::1,familia,familia,noun,family,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::inana::1,inana,inana,noun,"his, her, its mother.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::itata::1,itata,itata,noun,"his, her, its father.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::calli::5,kalli,calli,noun,house.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::michtlacualli::1,michtlakualli,michtlacualli,noun,fish (food).,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::milpa::1,milpa,milpa,noun,cornfield.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::olotl::4,olotl,olotl,noun,corncob.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::zacacalli::1,sakakalli,zacacalli,noun,hay storehouse,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::cimolotl::1,simolotl,cimolotl,noun,cob(corn).,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::cinolotl::1,sinolotl,cinolotl,noun,cob(corn).,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tahtzi::1,tahtsi,tahtzi,noun,"father, priest.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tatahtzi::1,tatahtsi,tatahtzi,noun,"father, priest.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlanehtli::1,tlanehtli,tlanehtli,noun,"laborer, worker.",,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::waleyah::1,waleyah,waleyah,noun,watermelon,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::hueyinana::1,weyinana,hueyinana,noun,grandmother.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::hueyitata::1,weyitata,hueyitata,noun,grandfather.,,daily_life,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ahqueya::1,ahkeya,ahqueya,adv,who?,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ama::1,ama,ama,adv,now,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amantzi::1,amantsi,amantzi,adv,right now,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amohuanti::1,amowanti,amohuanti,pron,second person; you (plural),,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ax::1,ax,ax,adv,not,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ax-aqui::1,ax aki,ax aqui,pron,nobody,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ax-quema::1,ax kema,ax quema,adv,never,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::axtle::1,axtle,axtle,particle,"no, negative response.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::aya::1,aya,aya,adv,not yet,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::chicnahui::2,chiknawi,chicnahui,num,nine.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::chicome::3,chikome,chicome,num,seven.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::chicuace::3,chikuase,chicuace,num,six.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::chicueyi::2,chikueyi,chicueyi,num,eight.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::eltoya::1,eltoya,eltoya,adv,very,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::eyi::4,eyi,eyi,num,three,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::hasta::1,hasta,hasta,prep,until,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::iaxca::2,iaxka,iaxca,pron,"of him, her, it.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ihquino::1,ihkino,ihquino,adv,thus.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ica::1,ika,ica,adv,with,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::imohuanti::1,imowanti,imohuanti,pron,second person; you (plural),,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ininhuanti::1,ininwanti,ininhuanti,pron,third person; they,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::intla::1,intla,intla,conj,if,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ipan::3,ipan,ipan,prep,in.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ihuaya::1,iwaya,ihuaya,pron,"with him, her, it.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::campa::4,kampa,campa,adv,where,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::canque::1,kanke,canque,adv,where,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::caxtolli::2,kaxtolli,caxtolli,num,fifteen.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::queha::1,keha,queha,adv,how.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::queha::2,keha,queha,prep,"like, as.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::queha-ni::1,keha ni,queha ni,adv,like this.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::queha-nopa::1,keha nopa,queha nopa,adv,like that.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::quehatza::1,kehatsa,quehatza,adv,how.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::quehatza::2,kehatsa,quehatza,prep,"like, as.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::quema::1,kema,quema,adv,when?,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::quena::1,kena,quena,particle,"yes, positive response.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::quentzi::1,kentsi,quentzi,adv,"little, not much.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::cualca::1,kualka,cualca,adv,early.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::macuilli::3,makuilli,macuilli,num,five.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::miac::1,miak,miac,adv,a lot.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::miyac::1,miyak,miyac,det,many.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::moaxca::1,moaxka,moaxca,pron,of you,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::moztla::2,mostla,moztla,adv,tomorrow,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::na::2,na,na,pron,first person; I,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::naha::1,naha,naha,pron,first person; I,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ne::1,ne,ne,det,that.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ne::2,ne,ne,pron,that.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nechca::1,nechka,nechca,adv,close to.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::neca::1,neka,neca,adv,there,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nel-a::1,nelía,nelía,adv,truly.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nepa::1,nepa,nepa,adv,there,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ni::1,ni,ni,det,this.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ni::2,ni,ni,pron,this.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nica::1,nika,nica,adv,here,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nicani::1,nikani,nicani,adv,here,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::noaxca::1,noaxka,noaxca,pron,of me,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::noha::1,noha,noha,adv,still,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nohquiya::1,nohkiya,nohquiya,adv,"moreover, furthermore.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nohqu-a::1,nohquía,nohquía,adv,"also, as well.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nopa::1,nopa,nopa,det,that.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nopa::2,nopa,nopa,pron,that.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::nopano::1,nopano,nopano,adv,there,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ome::4,ome,ome,num,two,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::pampa::1,pampa,pampa,conj,because,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::para-tlen::1,para tlen,para tlen,adv,why?,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::pero::1,pero,pero,conj,"but, rather",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::zampa::1,sampa,zampa,adv,again,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::zan::2,san,zan,adv,Only; merely; just; but.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ce::3,se,ce,num,one.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ceyoc::1,seyok,ceyoc,det,other.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ciento::1,siento,ciento,num,hundred.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ta::2,ta,ta,pron,second person; you (singular),,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::taha::1,taha,taha,pron,second person; you (singular),,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tlatzintla::1,tlatsintla,tlatzintla,prep,"under, below",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::tohuanti::1,towanti,tohuanti,pron,first person; we,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::huehca::1,wehka,huehca,adv,"far away, distant.",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::huehcapa::1,wehkapa,huehcapa,prep,above,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ya::2,ya,ya,pron,"third person; he, she",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yaha::1,yaha,yaha,pron,"third person; he, she",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yahaya::1,yahaya,yahaya,pron,"third person; he, she",,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yalhuaya::1,yalwaya,yalhuaya,adv,yesterday.,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yahuanti::1,yawanti,yahuanti,pron,third person; they,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yeca::1,yeka,yeca,adv,then,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::yolic-yolic::1,yolik yolik,yolic yolic,adv,little by little,,function_and_structure,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::achakalin::1,achakalin,achakalin,noun,shrimp,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::achtihuiehquetl::1,achtiwiehketl,achtihuiehquetl,noun,The oldest son or daughter.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::ahacatl::1,ahakatl,ahacatl,noun,wind.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::akachikiwitl::1,akachikiwitl,akachikiwitl,noun,basquet cane,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::acahya::1,akahya,acahya,noun,companion.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::aketzpalin::1,aketspalin,aketzpalin,noun,aligator,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::alaxox::1,alaxox,alaxox,noun,orange,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::alaxoxtontli::1,alaxoxtontli,alaxoxtontli,noun,mandarine,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::altepetl::5,altepetl,altepetl,noun,"altepetl, city, town.",,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::altepetlehquetl::1,altepetlehketl,altepetlehquetl,noun,"the inhabitant of an altepetl, town.",,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amacamanalli::1,amakamanalli,amacamanalli,noun,map.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amatl::6,amatl,amatl,noun,paper.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amatlahcuilolli::2,amatlahkuilolli,amatlahcuilolli,noun,A letter.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amelli::1,amelli,amelli,noun,well.,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::amigo::1,amigo,amigo,noun,friend,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
kw::apipiyalotl::2,apipiyalotl,apipiyalotl,noun,dragonfly,,general_vocabulary,internal_drafting_candidate_not_speaker_validated,0.95,EHN_colloquial source-backed candidate; requires MSN approval before public release.
